,cbsa,population,depression rate
0,12060.0,5302702.999999996,0.3333333333333333
1,12260.0,566492.0,0.5
2,12580.0,2715726.0,0.75
3,14460.0,4566449.000000003,0.5
4,16980.0,9470879.999999996,0.2
5,17140.0,2140735.0,0.5
6,17460.0,2075481.0000000012,0.3333333333333333
7,19100.0,6392259.000000004,0.5
8,19820.0,4291592.999999996,0.5
9,26420.0,5947408.999999994,0.23076923076923078
10,26900.0,1892646.9999999998,0.3333333333333333
11,28140.0,2013372.9999999986,0.5
12,31080.0,12838992.000000019,0.25
13,33100.0,5583547.000000001,0.2727272727272727
14,33860.0,375130.0,0.4
15,35380.0,1195319.9999999998,0.6666666666666666
16,35620.0,18923793.000000034,0.3727272727272728
17,36740.0,2139199.0000000005,0.5
18,37980.0,5970947.999999999,0.5
19,39100.0,671183.9999999997,0.75
20,40060.0,1188232.9999999998,0.3
21,40140.0,4242562.0,0.3333333333333333
22,42660.0,3449275.000000002,0.25
23,47260.0,1717021.9999999993,0.6
